epoch,inclusion_loss,learning_rate
0,0.2040243226445336,0.002
1,0.11533600768682759,0.002
2,0.27918883971877895,0.002
3,0.1294195120823043,0.002
4,0.016388326351033627,0.002
5,0.018242610187997936,0.002
6,0.09042613930517854,0.002
7,0.0974031382969176,0.002
8,0.03840692727537242,0.002
9,0.00981917403036188,0.002
10,0.00689823701027877,0.002
11,0.02185963862060768,0.002
12,0.043826218264018835,0.002
13,0.04600545253543627,0.002
14,0.029551192132547574,0.002
15,0.016526362901537132,0.002
16,0.01279582971630146,0.002
17,0.011821726478914094,0.002
18,0.010066663413997241,0.002
19,0.009441601665799803,0.002
20,0.016482241479493037,0.002
21,0.020256422118810916,0.002
22,0.009641675454082212,0.002
23,0.005455175974359509,0.002
24,0.005455579891651365,0.002
25,0.005757360068552283,0.002
26,0.0060182314805932585,0.002
27,0.007024885507005191,0.002
28,0.008728864763695245,0.002
29,0.009660940978747208,0.002
30,0.008538587311786056,0.002
31,0.006051419918372444,0.002
32,0.0039375293789431325,0.002
33,0.003066219124740215,0.002
34,0.0030332447949519186,0.002
35,0.0034401361240337935,0.002
36,0.004307215856698959,0.002
37,0.005327563380181014,0.002
38,0.005197365179673146,0.002
39,0.0039844640788939045,0.002
40,0.0030556621072455664,0.002
41,0.0026291080922566483,0.002
42,0.00251301143430926,0.002
43,0.0027070818032299037,0.002
44,0.003175517504657518,0.002
45,0.0035708348769178623,0.002
46,0.003527525312340506,0.002
47,0.0031354534538281208,0.002
48,0.0027450888697127915,0.002
49,0.0025059384314191596,0.002
50,0.002359042300613552,0.002
51,0.0023098567300735597,0.002
52,0.0024720704287814225,0.002
53,0.0027335575979407704,0.002
54,0.0027294204345129527,0.002
55,0.002517359637138919,0.002
56,0.002364863527476853,0.002
57,0.002269278041712986,0.002
58,0.002187876298480303,0.002
59,0.0021879968930549215,0.002
60,0.002296011685280346,0.002
61,0.0023807821599603138,0.002
62,0.0023362866893550265,0.002
63,0.002242292264939769,0.002
64,0.0021837342108287938,0.002
65,0.002142098347971651,0.002
66,0.002100076874220492,0.002
67,0.0021041413701149416,0.002
68,0.0021616267296020253,0.002
69,0.0021788319953464663,0.002
70,0.0021324293365811457,0.002
71,0.0020945077685761127,0.002
72,0.002073304283527362,0.002
73,0.0020460571144298254,0.002
74,0.002034030669365676,0.002
75,0.0020548482864093556,0.002
76,0.0020708710040442412,0.002
77,0.0020535713939830854,0.002
78,0.002029740042918438,0.002
79,0.002016612098717159,0.002
80,0.002001405390713783,0.002
81,0.0019867099511400575,0.002
82,0.001989800806882329,0.002
83,0.0019985929483321793,0.002
84,0.0019900978925134253,0.002
85,0.00197580377394721,0.002
86,0.0019674729787168685,0.002
87,0.001956838950113753,0.002
88,0.0019461307676737988,0.002
89,0.0019454894060699373,0.002
90,0.0019472422626421618,0.002
91,0.0019405303727324794,0.002
92,0.001931950386559896,0.002
93,0.0019258639174703851,0.002
94,0.0019175220169162755,0.002
95,0.0019095770493540545,0.002
96,0.0019074659025157229,0.002
97,0.0019056029941286671,0.002
98,0.0018996563144975998,0.002
99,0.0018941879711056688,0.002
100,0.0018890474112062397,0.0020000000949949026
101,0.0018819942520470947,0.0020000000949949026
102,0.0018766791894043499,0.0020000000949949026
