epoch,inclusion_loss,learning_rate
361,0.001496985310756836,0.002
362,0.0014962232031428253,0.002
363,0.0014954625554289443,0.002
364,0.0014947033331986445,0.002
365,0.001493945502468471,0.002
366,0.0014931890299801443,0.002
367,0.0014924338829483746,0.002
368,0.0014916800292594464,0.002
369,0.0014909274373563883,0.002
370,0.0014901760762147962,0.002
371,0.0014894259153985945,0.002
372,0.0014886769249716483,0.002
373,0.0014879290756444551,0.002
374,0.0014871823386180107,0.002
375,0.0014864366856787697,0.002
376,0.0014856920891033894,0.002
377,0.001484948521113352,0.002
378,0.0014842059503747678,0.002
379,0.001483464349265465,0.002
380,0.0014827236864351514,0.002
381,0.001481983933107355,0.002
382,0.0014812450639232824,0.002
383,0.0014805070541210462,0.002
384,0.0014797698795388642,0.002
385,0.0014790335153713463,0.002
386,0.0014782979360412581,0.002
387,0.0014775631188315619,0.002
388,0.001476829041625309,0.002
389,0.0014760956828394531,0.002
390,0.001475363021445413,0.002
391,0.0014746310372692132,0.002
392,0.0014738997103293796,0.002
393,0.0014731690210536459,0.002
394,0.0014724389502884245,0.002
395,0.0014717094793387103,0.002
396,0.0014709805899097922,0.002
397,0.0014702522641121436,0.002
398,0.0014695244844494188,0.002
399,0.0014687972340338153,0.002
400,0.0014680704982739442,0.002
401,0.0014673442614929685,0.002
402,0.0014666185078839747,0.002
403,0.0014658932218823346,0.002
404,0.0014651683883475965,0.002
405,0.0014644439923697052,0.002
406,0.0014637200193968036,0.002
407,0.0014629964551173217,0.002
408,0.0014622732855726266,0.002
409,0.0014615504970732962,0.002
410,0.0014608280762214514,0.002
411,0.0014601060098865391,0.002
412,0.0014593842852198603,0.002
413,0.00145866288966713,0.002
414,0.0014579418102940948,0.002
415,0.0014572210320124793,0.002
416,0.0014565005423897975,0.002
417,0.0014557803296898673,0.002
418,0.0014550603824090298,0.002
419,0.001454340689351515,0.002
420,0.0014536212395470265,0.002
421,0.0014529020223358687,0.002
422,0.0014521830272735297,0.002
423,0.001451464244176021,0.002
424,0.0014507456630679315,0.002
425,0.001450027274233589,0.002
426,0.0014493090681752321,0.002
427,0.0014485910356176225,0.002
428,0.001447873167489899,0.002
429,0.0014471554549361448,0.002
430,0.001446437889309221,0.002
431,0.0014457204621494022,0.002
432,0.0014450031648694513,0.002
433,0.0014442859864302962,0.002
434,0.0014435689179994888,0.002
435,0.00144285195162136,0.002
436,0.0014421350795578898,0.002
437,0.0014414182942740785,0.002
438,0.0014407015884477425,0.002
439,0.0014399849549360092,0.002
440,0.001439268386768136,0.002
441,0.0014385518771315305,0.002
442,0.0014378354193822457,0.002
443,0.0014371190070334306,0.002
444,0.001436402633749298,0.002
445,0.001435686293335224,0.002
446,0.0014349699797380233,0.002
447,0.0014342536870395994,0.002
448,0.0014335374094512103,0.002
449,0.0014328211413122069,0.002
450,0.0014321048770904166,0.002
451,0.0014313886113780552,0.002
452,0.0014306723388802668,0.002
453,0.0014299560544103528,0.002
454,0.0014292397528876928,0.002
455,0.001428523429337741,0.002
456,0.0014278070790551068,0.002
457,0.001427090698173393,0.002
458,0.0014263742821976682,0.002
459,0.0014256578265780685,0.002
460,0.001424941326847666,0.002
461,0.0014242247776115452,0.002
462,0.001423508172965467,0.002
463,0.0014227915084694582,0.002
464,0.0014220747797891993,0.002
465,0.0014213579826717446,0.002
466,0.0014206411129509906,0.002
467,0.0014199241665430172,0.002
468,0.0014192071394515994,0.002
469,0.0014184900277506227,0.002
470,0.001417772827583756,0.002
471,0.0014170555351615327,0.002
472,0.0014163381467692958,0.002
473,0.001415620658757385,0.002
474,0.001414903067540861,0.002
475,0.0014141853695959648,0.002
476,0.0014134675614633687,0.002
477,0.00141274963973879,0.002
478,0.001412031601070984,0.002
479,0.0014113134421591435,0.002
480,0.0014105951597550793,0.002
481,0.0014098767506560141,0.002
482,0.001409158211702567,0.002
483,0.001408439539777861,0.002
484,0.0014077207318100712,0.002
485,0.001407001784767514,0.002
486,0.001406282695656156,0.002
487,0.001405563461517858,0.002
488,0.0014048440794309203,0.002
489,0.0014041245465055644,0.002
490,0.0014034048598818999,0.002
491,0.001402685016729383,0.002
492,0.001401965014247683,0.002
493,0.001401244849663346,0.002
494,0.0014005245202277899,0.002
495,0.0013998040232167889,0.002
