epoch,inclusion_loss,learning_rate
0,0.5770772824331202,0.002
1,0.015229762741433396,0.002
2,0.17229699681994912,0.002
3,0.25583549992116283,0.002
4,0.1084157813763813,0.002
5,0.01689983760865846,0.002
6,0.011510032089946977,0.002
7,0.05438823010893312,0.002
8,0.09186613589821553,0.002
9,0.0925985698298252,0.002
10,0.062143374309817284,0.002
11,0.027328880794373983,0.002
12,0.010404261547248089,0.002
13,0.008455717210042613,0.002
14,0.016517406030027014,0.002
15,0.02991900938918476,0.002
16,0.0391662004245541,0.002
17,0.03731112035944298,0.002
18,0.02627832059933586,0.002
19,0.01389918568740258,0.002
20,0.006365509382717738,0.002
21,0.005010898644192621,0.002
22,0.007419091411988177,0.002
23,0.011530924929755472,0.002
24,0.01560161949479531,0.002
25,0.01774941742304958,0.002
26,0.016910123869158817,0.002
27,0.01382673576385,0.002
28,0.010089864416743023,0.002
29,0.006865015342491664,0.002
30,0.004756336438867685,0.002
31,0.004081940492767201,0.002
32,0.005033728442673105,0.002
33,0.006895061364313537,0.002
34,0.008424350831679146,0.002
35,0.008750161037281259,0.002
36,0.007839606358097159,0.002
37,0.006310703964768969,0.002
38,0.004893919145610089,0.002
39,0.0040486961323904684,0.002
40,0.0039032856391289627,0.002
41,0.004267459732997372,0.002
42,0.004765885442777714,0.002
43,0.005186405755652414,0.002
44,0.005390455306007771,0.002
45,0.005274276050802476,0.002
46,0.004841677602801151,0.002
47,0.004257050744894679,0.002
48,0.0037243129538551,0.002
49,0.00338751268163326,0.002
50,0.0033637856458776393,0.002
51,0.0035851194146206892,0.002
52,0.003838197060690002,0.002
53,0.003947689712553578,0.002
54,0.003849354104346785,0.002
55,0.003597561724690061,0.002
56,0.0033147355751183107,0.002
57,0.0031145611861650886,0.002
58,0.003043476927285523,0.002
59,0.0030710233967564237,0.002
60,0.0031328069061125783,0.002
61,0.0031801498378423933,0.002
62,0.0031738570517074764,0.002
63,0.0030963432784194412,0.002
64,0.002966813147663297,0.002
65,0.00283567800777293,0.002
66,0.002748983490886305,0.002
67,0.0027272996886616428,0.002
68,0.002754507738555731,0.002
69,0.002784453538765273,0.002
70,0.0027722758581523975,0.002
71,0.002708879771021951,0.002
72,0.002623744840016991,0.002
73,0.002554907955289467,0.002
74,0.002520577111049572,0.002
75,0.0025143667169236455,0.002
76,0.0025170966281078504,0.002
77,0.002510434127665294,0.002
78,0.002485317158670456,0.002
79,0.002444172799341052,0.002
80,0.002398078156549636,0.002
81,0.0023602887756132176,0.002
82,0.002338388549701472,0.002
83,0.002329576822005209,0.002
84,0.002323042391246145,0.002
85,0.0023081018799964116,0.002
86,0.0022817441949587996,0.002
87,0.0022498489831973066,0.002
88,0.002221693580081673,0.002
89,0.002202594295348917,0.002
90,0.0021907035842621296,0.002
91,0.0021800045856745576,0.002
92,0.002165679261867012,0.002
93,0.0021468412238143026,0.002
94,0.0021256393178020142,0.002
95,0.002105132447962089,0.002
96,0.0020877080801666777,0.002
97,0.0020740123235643295,0.002
98,0.00206248920188974,0.002
99,0.002050234512119586,0.002
100,0.002035282529272771,0.002
101,0.0020183364399722083,0.002
102,0.0020019713713877734,0.002
103,0.001988084353067189,0.002
104,0.001976434668883134,0.002
105,0.0019653640341193595,0.002
106,0.0019534626632291747,0.002
107,0.0019404534318152103,0.002
108,0.0019270109220137284,0.002
109,0.001914080415265028,0.002
110,0.0019022991268582076,0.002
111,0.0018916375455435585,0.002
112,0.0018814026921674934,0.002
113,0.0018707873614084466,0.002
